Date,SIM-KS10 KLİMA,Interval Total
2022-07-21,886.24122999981,886.24122999981
2022-07-22,886.241230999818,886.241230999818
2022-07-23,886.241230999818,886.241230999818
2022-07-24,723.148226000136,723.148226000136
2022-07-25,886.241230000509,886.241230000509
2022-07-26,886.241231999593,886.241231999593
2022-07-27,886.241229000269,886.241229000269
2022-07-28,886.241230999585,886.241230999585
2022-07-29,886.241231000517,886.241231000517
2022-07-30,883.164003999671,883.164003999671
2022-07-31,886.241230000043,886.241230000043
2022-08-01,886.241230000276,886.241230000276
2022-08-02,886.241230999585,886.241230999585
2022-08-03,883.164004000137,883.164004000137
2022-08-04,886.241229999578,886.241229999578
2022-08-05,886.241232000524,886.241232000524
2022-08-06,886.241231000051,886.241231000051
2022-08-07,886.241229000036,886.241229000036
2022-08-08,886.241230999585,886.241230999585
2022-08-09,886.241231000284,886.241231000284
2022-08-10,886.24122999981,886.24122999981
2022-08-11,886.241231000284,886.241231000284
2022-08-12,886.24122899957,886.24122899957
2022-08-13,886.241231000517,886.241231000517
2022-08-14,886.241231999593,886.241231999593
2022-08-15,886.241230000276,886.241230000276
2022-08-16,886.24122899957,886.24122899957
2022-08-17,886.241232000524,886.241232000524
2022-08-18,886.241229999578,886.241229999578
2022-08-19,886.241231000517,886.241231000517
2022-08-20,886.241229999578,886.241229999578
2022-08-21,883.164003999904,883.164003999904
2022-08-22,886.241231000051,886.241231000051
2022-08-23,886.241231000051,886.241231000051
2022-08-24,883.164002000121,883.164002000121
2022-08-25,886.241231999826,886.241231999826
2022-08-26,886.241230000276,886.241230000276
2022-08-27,886.241230999818,886.241230999818
2022-08-28,886.241231000051,886.241231000051
2022-08-29,886.241228999803,886.241228999803
2022-08-30,886.241231000284,886.241231000284
2022-08-31,886.241231999826,886.241231999826
2022-09-01,886.241229000269,886.241229000269
2022-09-02,886.241229999578,886.241229999578
2022-09-03,886.241232000524,886.241232000524
2022-09-04,886.241229999578,886.241229999578
2022-09-05,883.164003999904,883.164003999904
2022-09-06,886.241231000517,886.241231000517
2022-09-07,886.241229999578,886.241229999578
2022-09-08,886.241230999818,886.241230999818
2022-09-09,886.241229000269,886.241229000269
2022-09-10,886.241231000284,886.241231000284
2022-09-11,886.241231999826,886.241231999826
2022-09-12,886.24122999981,886.24122999981
2022-09-13,886.241229000036,886.241229000036
2022-09-14,886.241232000059,886.241232000059
2022-09-15,880.08677800023,880.08677800023
2022-09-16,883.164003000129,883.164003000129
2022-09-17,886.241231999593,886.241231999593
2022-09-18,886.24122999981,886.24122999981
2022-09-19,886.241228999803,886.241228999803
2022-09-20,886.241231000749,886.241231000749
2022-09-21,886.241230999818,886.241230999818
2022-09-22,886.241231000051,886.241231000051
2022-09-23,886.241228999803,886.241228999803
2022-09-24,886.241231000051,886.241231000051
2022-09-25,886.241230999818,886.241230999818
2022-09-26,886.241231000517,886.241231000517
2022-09-27,886.241230999818,886.241230999818
2022-09-28,886.241229000036,886.241229000036
2022-09-29,886.241230999585,886.241230999585
2022-09-30,886.241231000517,886.241231000517
2022-10-01,886.241230999585,886.241230999585
2022-10-02,886.241229000269,886.241229000269
2022-10-03,883.164004999911,883.164004999911
2022-10-04,886.241231000051,886.241231000051
2022-10-05,886.241230000043,886.241230000043
2022-10-06,886.24122999981,886.24122999981
2022-10-07,886.241230999818,886.241230999818
2022-10-08,886.241231000051,886.241231000051
2022-10-09,886.241230000276,886.241230000276
2022-10-10,886.241230000043,886.241230000043
2022-10-11,886.241230999585,886.241230999585
2022-10-12,886.241231000517,886.241231000517
2022-10-13,886.241229999578,886.241229999578
2022-10-14,886.241230000043,886.241230000043
2022-10-15,886.241230999818,886.241230999818
2022-10-16,886.241231000517,886.241231000517
2022-10-17,886.241230999818,886.241230999818
2022-10-18,886.241228999803,886.241228999803
2022-10-19,886.241231000517,886.241231000517
2022-10-20,886.241230999585,886.241230999585
2022-10-21,886.241230000043,886.241230000043
2022-10-22,886.241231000284,886.241231000284
2022-10-23,883.164003999904,883.164003999904
2022-10-24,886.24122999981,886.24122999981
2022-10-25,886.241231000284,886.241231000284
2022-10-26,886.241229999578,886.241229999578
2022-10-27,886.241231000051,886.241231000051
2022-10-28,886.241231000051,886.241231000051
2022-10-29,886.241230000509,886.241230000509
2022-10-30,886.241230999585,886.241230999585
2022-10-31,886.241230000276,886.241230000276
2022-11-01,886.241230999585,886.241230999585
2022-11-02,886.241230000276,886.241230000276
2022-11-03,886.241230999585,886.241230999585
2022-11-04,886.241229000501,886.241229000501
2022-11-05,886.241231999826,886.241231999826
2022-11-06,886.241231000051,886.241231000051
2022-11-07,886.241229000036,886.241229000036
2022-11-08,886.241230999818,886.241230999818
2022-11-09,870.855098000029,870.855098000029
2022-11-10,886.241230999818,886.241230999818
2022-11-11,886.241231000051,886.241231000051
2022-11-12,886.241229000036,886.241229000036
2022-11-13,886.241231000284,886.241231000284
2022-11-14,886.241230999585,886.241230999585
2022-11-15,886.241230000276,886.241230000276
2022-11-16,886.241230999818,886.241230999818
2022-11-17,886.241230000043,886.241230000043
2022-11-18,886.241230000043,886.241230000043
2022-11-19,886.241232000291,886.241232000291
2022-11-20,886.241230999818,886.241230999818
2022-11-21,886.241229000036,886.241229000036
2022-11-22,886.241230999585,886.241230999585
2022-11-23,886.241231000284,886.241231000284
2022-11-24,886.241230000043,886.241230000043
2022-11-25,886.241231000051,886.241231000051
2022-11-26,886.24122999981,886.24122999981
2022-11-27,886.241230000276,886.241230000276
2022-11-28,883.164004999679,883.164004999679
2022-11-29,886.241229000036,886.241229000036
2022-11-30,886.241232000059,886.241232000059
2022-12-01,886.241231000051,886.241231000051
2022-12-02,886.241229000036,886.241229000036
2022-12-03,886.241232000059,886.241232000059
2022-12-04,886.241230000043,886.241230000043
2022-12-05,886.24122999981,886.24122999981
2022-12-06,886.241230999818,886.241230999818
2022-12-07,886.241231000284,886.241231000284
2022-12-08,886.241229000269,886.241229000269
2022-12-09,886.241231999826,886.241231999826
2022-12-10,886.241230999585,886.241230999585
2022-12-11,886.241229000269,886.241229000269
2022-12-12,886.241231000051,886.241231000051
2022-12-13,886.241230000043,886.241230000043
2022-12-14,886.241231000051,886.241231000051
2022-12-15,886.241231000051,886.241231000051
2022-12-16,880.086776999757,880.086776999757
2022-12-17,886.241231000284,886.241231000284
2022-12-18,886.241230999818,886.241230999818
2022-12-19,886.241229000036,886.241229000036
2022-12-20,886.241230999818,886.241230999818
2022-12-21,886.241231000284,886.241231000284
2022-12-22,883.164003999671,883.164003999671
2022-12-23,886.241230000043,886.241230000043
