Date,SIM-KS10 UDP,Interval Total
2022-11-02,2390.9699679995,2390.9699679995
2022-11-03,2390.96996800043,2390.96996800043
2022-11-04,2390.9699679995,2390.9699679995
2022-11-05,2390.96996799996,2390.96996799996
2022-11-06,2390.9699690002,2390.9699690002
2022-11-07,2390.96996699972,2390.96996699972
2022-11-08,2390.96996800043,2390.96996800043
2022-11-09,2349.46007299982,2349.46007299982
2022-11-10,2390.96996799996,2390.96996799996
2022-11-11,2390.96996899974,2390.96996899974
2022-11-12,2390.96996700019,2390.96996700019
2022-11-13,2390.96996799996,2390.96996799996
2022-11-14,2390.96996800043,2390.96996800043
2022-11-15,2390.96996899974,2390.96996899974
2022-11-16,2390.96996799996,2390.96996799996
2022-11-17,2390.96996700019,2390.96996700019
2022-11-18,2390.96996799996,2390.96996799996
2022-11-19,2390.9699690002,2390.9699690002
2022-11-20,2390.9699679995,2390.9699679995
2022-11-21,2390.96996700019,2390.96996700019
2022-11-22,2390.9699690002,2390.9699690002
2022-11-23,2390.96996799996,2390.96996799996
2022-11-24,2390.96996799996,2390.96996799996
2022-11-25,2390.96996799996,2390.96996799996
2022-11-26,2390.96996799996,2390.96996799996
2022-11-27,2390.96996799996,2390.96996799996
2022-11-28,2382.66798900021,2382.66798900021
2022-11-29,2390.96996799996,2390.96996799996
2022-11-30,2390.96996799996,2390.96996799996
2022-12-01,2390.96996799996,2390.96996799996
2022-12-02,2390.9699690002,2390.9699690002
2022-12-03,2390.96996699972,2390.96996699972
2022-12-04,2390.96996799996,2390.96996799996
2022-12-05,2390.96996799996,2390.96996799996
2022-12-06,2390.9699690002,2390.9699690002
2022-12-07,2390.96996799996,2390.96996799996
2022-12-08,2390.96996700019,2390.96996700019
2022-12-09,2390.96996799996,2390.96996799996
2022-12-10,2390.96996899974,2390.96996899974
2022-12-11,2390.96996800043,2390.96996800043
2022-12-12,2390.96996699926,2390.96996699926
2022-12-13,2390.96996900067,2390.96996900067
2022-12-14,2390.96996799996,2390.96996799996
2022-12-15,2390.9699679995,2390.9699679995
2022-12-16,2374.36601,2374.36601
2022-12-17,2390.96996800043,2390.96996800043
2022-12-18,2390.9699679995,2390.9699679995
2022-12-19,2390.96996800043,2390.96996800043
2022-12-20,2390.96996799996,2390.96996799996
2022-12-21,2390.96996799996,2390.96996799996
2022-12-22,2382.66798900021,2382.66798900021
2022-12-23,2390.96996799996,2390.96996799996
2022-12-24,2390.96996899974,2390.96996899974
2022-12-25,2390.96996700019,2390.96996700019
2022-12-26,2390.96996799996,2390.96996799996
2022-12-27,2390.96996799996,2390.96996799996
2022-12-28,2390.9699690002,2390.9699690002
2022-12-29,2390.9699679995,2390.9699679995
2022-12-30,2390.96996700019,2390.96996700019
2022-12-31,2390.96996799996,2390.96996799996
2023-01-01,2390.9699690002,2390.9699690002
